TRACE,HEADERTIME,TIME_shot_1,TIME_shot_2
175, 14:14:20,4152.0,0
176, 14:14:25,3878.0,0
177, 14:14:30,3239.0,0
178, 14:14:35,2483.0,0
179, 14:14:40,2076.0,0
180, 14:14:45,1436.0,0
181, 14:14:50,763.6,0
182, 14:14:55,830.1,0
183, 14:15:00,356.6,4702
184, 14:15:05,3903.0,0
185, 14:15:10,3687.0,0
186, 14:15:15,3189.0,0
187, 14:15:20,3073.0,0
188, 14:15:25,2666.0,0
189, 14:15:30,2059.0,0
190, 14:15:35,1453.0,0
191, 14:15:40,780.2,0
192, 14:15:45,306.8,4775
193, 14:15:50,3812.0,0
194, 14:15:55,3122.0,0
195, 14:16:00,2458.0,0
196, 14:16:05,1702.0,0
197, 14:16:10,1436.0,0
198, 14:16:15,929.7,0
199, 14:16:20,979.6,0
200, 14:16:25,115.8,4412
201, 14:16:30,3696.0,0
202, 14:16:35,3181.0,0
203, 14:16:40,2433.0,0
204, 14:16:45,1868.0,0
205, 14:16:50,1436.0,0
206, 14:16:55,630.7,4953
207, 14:17:00,0.0,0
208, 14:17:05,0.0,0
209, 14:17:10,0.0,0
210, 14:17:15,0.0,0
211, 14:21:00,257.0,0
212, 14:21:05,107.5,0
213, 14:21:10,149.0,0
214, 14:21:15,49.33,4715
215, 14:21:20,4377.0,0
216, 14:21:25,4177.0,0
217, 14:21:30,0.0,0
218, 14:21:35,0.0,0
219, 14:21:40,0.0,0
220, 14:21:45,1303.0,0
221, 14:21:50,763.6,0
222, 14:21:55,522.8,0
223, 14:22:00,398.2,4861
224, 14:22:05,4393.0,0
225, 14:22:10,4377.0,0
226, 14:22:15,4485.0,0
227, 14:22:20,4875.0,0
228, 14:22:25,0.0,0
229, 14:22:30,605.8,0
230, 14:22:35,348.3,0
231, 14:22:40,173.9,4881
232, 14:22:45,4227.0,0
233, 14:22:50,4011.0,0
234, 14:22:55,4235.0,0
235, 14:23:00,4269.0,0
236, 14:23:05,4476.0,0
237, 14:23:10,4493.0,0
238, 14:23:15,4609.0,0
239, 14:23:20,4127.0,0
240, 14:23:25,3264.0,0
241, 14:23:30,3056.0,0
242, 14:23:35,2558.0,0
243, 14:23:40,1893.0,0
244, 14:23:45,2167.0,0
245, 14:23:50,2965.0,0
246, 14:23:55,2383.0,0
247, 14:24:00,2558.0,0
248, 14:24:05,3230.0,0
249, 14:24:10,3563.0,0
250, 14:24:15,3853.0,0
251, 14:29:00,3945.0,0
252, 14:29:05,3521.0,0
253, 14:29:10,3014.0,0
254, 14:29:15,2375.0,0
255, 14:29:20,2225.0,0
256, 14:29:25,1702.0,0
257, 14:29:30,946.3,0
258, 14:29:35,838.4,0
259, 14:29:40,0.0,0
260, 14:29:45,0.0,0
261, 14:29:50,3704.0,0
262, 14:29:55,3405.0,0
263, 14:30:00,4069.0,0
264, 14:30:05,3978.0,0
265, 14:30:10,4742.0,0
266, 14:30:15,4260.0,0
267, 14:30:20,3970.0,0
268, 14:30:25,3596.0,0
269, 14:30:30,3255.0,0
270, 14:30:35,3197.0,0
271, 14:30:40,3305.0,0
272, 14:30:45,2973.0,0
273, 14:30:50,3463.0,0
274, 14:30:55,3961.0,0
275, 14:31:00,3920.0,0
276, 14:31:05,4576.0,0
277, 14:31:10,4127.0,0
278, 14:31:15,3189.0,0
279, 14:31:20,2425.0,0
280, 14:31:25,1993.0,0
281, 14:31:30,1752.0,0
282, 14:31:35,1121.0,0
283, 14:31:40,273.6,4277
284, 14:31:45,3363.0,0
285, 14:31:50,2732.0,0
286, 14:31:55,2358.0,0
287, 14:32:00,1727.0,0
288, 14:32:05,1519.0,0
289, 14:32:10,1179.0,0
290, 14:32:15,1744.0,0
291, 14:41:00,0.0,0
292, 14:41:05,0.0,0
293, 14:41:10,780.2,4937
294, 14:41:15,0.0,0
295, 14:41:20,888.2,0
296, 14:41:25,1553.0,0
297, 14:41:30,3239.0,0
298, 14:41:35,3264.0,0
299, 14:41:40,3588.0,0
300, 14:41:45,3372.0,0
301, 14:41:50,3870.0,0
302, 14:41:55,4485.0,0
303, 14:42:00,4352.0,0
304, 14:42:05,0.0,0
305, 14:42:10,323.4,0
306, 14:42:15,863.3,0
307, 14:42:20,1287.0,0
308, 14:42:25,2416.0,0
309, 14:42:30,3480.0,0
310, 14:42:35,4651.0,0
311, 14:42:40,4950.0,0
312, 14:42:45,0.0,0
313, 14:42:50,655.6,0
314, 14:42:55,1054.0,0
315, 14:43:00,1702.0,0
316, 14:43:05,2450.0,0
317, 14:43:10,2317.0,0
318, 14:43:15,2317.0,0
319, 14:43:20,3247.0,0
320, 14:43:25,3737.0,0
321, 14:43:30,4933.0,0
322, 14:43:35,0.0,0
323, 14:43:40,963.0,0
324, 14:43:45,863.3,0
325, 14:43:50,1063.0,0
326, 14:43:55,871.6,0
327, 14:44:00,1420.0,0
328, 14:44:05,1719.0,0
329, 14:44:10,1710.0,0
330, 14:44:15,1328.0,0
331, 15:46:00,1594.0,0
332, 15:46:05,1353.0,0
333, 15:46:10,0.0,0
334, 15:46:15,0.0,0
335, 15:46:20,1852.0,0
336, 15:46:25,2533.0,0
337, 15:46:30,1877.0,0
338, 15:46:35,1810.0,0
339, 15:46:40,1627.0,0
340, 15:46:45,2142.0,0
341, 15:46:50,1686.0,0
342, 15:46:55,1328.0,0
343, 15:47:00,1337.0,0
344, 15:47:05,1760.0,0
345, 15:47:10,1470.0,0
346, 15:47:15,1993.0,0
347, 15:47:20,1519.0,0
348, 15:47:25,2184.0,0
349, 15:47:30,1229.0,0
350, 15:47:35,1569.0,0
351, 15:47:40,2898.0,0
352, 15:47:45,2624.0,0
353, 15:47:50,2516.0,0
354, 15:47:55,2583.0,0
355, 15:48:00,2425.0,0
356, 15:48:05,2358.0,0
357, 15:48:10,1810.0,0
358, 15:48:15,2167.0,0
359, 15:48:20,1038.0,0
360, 15:48:25,539.4,0
361, 15:48:30,340.0,0
362, 15:48:35,1935.0,0
363, 15:48:40,1702.0,0
364, 15:48:45,1694.0,0
365, 15:48:50,1021.0,0
366, 15:48:55,1802.0,0
367, 15:49:00,913.1,0
368, 15:49:05,1071.0,0
